Time [s],Gauge Pressure,Inspiratory differenrtial pressure,Expiratory differenrtial pressure
0,10104,8178,8185
0.0241540000000029,10104,8181,8187
0.0283200000000008,10109,8178,8187
0.0294190000000043,10109,8181,8187
0.0376420000000053,10106,8178,8187
0.0468820000000036,10109,8181,8187
0.0560730000000049,10109,8183,8185
0.0675960000000018,10112,8181,8185
0.0739289999999997,10112,8181,8185
0.0850810000000024,10112,8183,8187
0.094144,10109,8181,8185
0.107078000000001,10106,8181,8182
0.115864000000002,10104,8181,8185
0.126879000000002,10106,8181,8182
0.138266000000002,10106,8183,8185
0.144774000000005,10112,8181,8185
0.156041000000002,10115,8178,8187
0.165141000000006,10118,8178,8187
0.176766000000001,10121,8178,8187
0.186962000000001,10123,8178,8185
0.196221000000001,10126,8178,8187
0.203475000000005,10133,8178,8187
0.214551,10130,8181,8187
0.225357000000002,10135,8178,8187
0.237112000000003,10135,8178,8187
0.246211000000002,10143,8178,8185
0.255368000000004,10143,8181,8187
0.266734,10143,8178,8185
0.275600000000004,10143,8181,8187
0.286511000000004,10143,8181,8187
0.297263000000001,10143,8181,8187
0.306048000000004,10146,8178,8187
0.317572000000006,10146,8181,8185
0.326757000000001,10152,8178,8185
0.335141,10154,8178,8187
0.346258000000006,10157,8181,8187
0.355287000000004,10160,8178,8187
0.367021000000001,10162,8178,8185
0.373323000000006,10165,8178,8187
0.387294000000004,10165,8178,8185
0.396346000000001,10165,8181,8187
0.407341000000002,10165,8181,8187
0.413855000000005,10168,8178,8187
0.425594000000004,10168,8178,8187
0.434730999999999,10168,8178,8187
0.446451000000003,10168,8178,8185
0.455541000000004,10160,8178,8187
0.467295,10168,8178,8185
0.476390000000002,10165,8178,8185
0.487182000000004,10165,8178,8180
0.497432000000003,10168,8178,8187
0.505448000000001,10168,8181,8185
0.516847000000006,10174,8178,8185
0.525586000000004,10170,8181,8185
0.534117000000002,10168,8178,8185
0.545718000000001,10162,8178,8187
0.554615000000005,10165,8181,8187
0.566238000000006,10162,8178,8185
0.575101000000004,10160,8178,8185
0.586801000000001,10160,8181,8182
0.595840000000003,10160,8178,8180
0.607310000000005,10154,8181,8185
0.615448000000001,10154,8178,8185
0.624193000000005,10152,8178,8182
0.635761000000002,10154,8178,8180
0.644698000000005,10157,8178,8182
0.656397000000005,10157,8178,8182
0.665013999999999,10162,8178,8185
0.674341000000005,10162,8181,8182
0.683525000000003,10165,8181,8187
0.694572000000001,10162,8181,8187
0.705544000000003,10165,8181,8185
0.714084,10165,8181,8187
0.725552,10170,8181,8187
0.736844000000005,10170,8181,8187
0.745934000000005,10180,8181,8187
0.755065999999999,10180,8181,8185
0.764245000000003,10188,8183,8185
0.775658,10193,8181,8187
0.784676000000005,10196,8178,8182
0.796348000000002,10199,8178,8185
0.802803000000004,10204,8181,8182
0.817109000000002,10207,8181,8182
0.823270000000001,10218,8178,8180
0.836816000000006,10221,8178,8185
0.843233000000005,10224,8178,8185
0.854742000000002,10227,8178,8185
0.863839000000006,10233,8178,8185
0.875602000000001,10241,8178,8182
0.884724000000006,10241,8183,8185
0.895922000000006,10247,8181,8187
0.906612000000003,10249,8181,8185
0.915667000000006,10257,8181,8187
0.924734000000001,10260,8181,8185
0.933185000000002,10266,8181,8185
0.944276000000002,10268,8181,8182
0.953155000000002,10274,8183,8187
0.964775000000003,10282,8181,8185
0.976501000000006,10285,8181,8185
0.985617000000005,10287,8181,8187
0.994638999999999,10293,8178,8190
1.00628200000001,10298,8178,8187
1.017071,10307,8178,8185
1.02562,10314,8178,8187
1.034704,10322,8178,8187
1.043379,10324,8178,8187
1.051253,10333,8181,8185
1.06269,10330,8178,8187
1.075826,10333,8178,8187
1.086449,10338,8178,8187
1.092278,10341,8178,8187
1.106335,10338,8178,8187
1.112889,10338,8181,8187
1.124569,10335,8178,8187
1.133634,10335,8181,8187
1.144654,10327,8178,8185
1.153483,10327,8181,8185
1.164388,10319,8178,8182
1.172935,10310,8181,8185
1.184604,10303,8181,8185
1.19599400000001,10295,8178,8185
1.20507600000001,10290,8181,8185
1.216805,10282,8178,8182
1.222971,10274,8178,8182
1.234641,10268,8178,8182
1.24372200000001,10257,8178,8182
1.254995,10249,8178,8185
1.26325900000001,10244,8181,8185
1.27494,10238,8181,8185
1.283876,10229,8181,8185
1.294457,10221,8178,8182
1.306024,10209,8178,8180
1.312127,10207,8178,8180
1.323624,10193,8178,8180
1.332676,10188,8178,8182
1.346798,10180,8175,8182
1.352988,10170,8178,8182
1.364153,10162,8178,8180
1.37516,10154,8178,8180
1.385564,10143,8175,8180
1.391886,10133,8175,8182
1.405787,10126,8175,8185
1.412294,10123,8178,8185
1.425873,10112,8178,8182
1.432376,10101,8178,8185
1.444128,10090,8178,8182
1.453633,10079,8175,8182
1.46524,10066,8175,8182
1.47645900000001,10057,8178,8182
1.482845,10049,8178,8185
1.494409,10031,8175,8185
1.503542,10023,8175,8182
1.516928,10012,8178,8182
1.524706,10007,8178,8182
1.531595,9993,8181,8182
1.54585400000001,9988,8178,8185
1.552343,9980,8178,8182
1.563445,9971,8181,8182
1.571645,9960,8178,8185
1.58254100000001,9954,8181,8182
1.593468,9949,8178,8182
1.605218,9952,8181,8182
1.613976,9943,8178,8180
1.623019,9934,8178,8182
1.634415,9887,8178,8185
1.64325400000001,9901,8181,8182
1.653744,9893,8181,8182
1.66242,9887,8178,8182
1.674095,9874,8181,8182
1.683149,9860,8178,8182
1.692132,9852,8181,8182
1.70383500000001,9837,8181,8182
1.712913,9820,8178,8182
1.724302,9801,8181,8182
1.73463,9777,8181,8185
1.743711,9751,8181,8185
1.755424,9724,8178,8182
1.76448000000001,9690,8178,8185
1.775485,9659,8178,8182
1.783634,9631,8178,8182
1.79247100000001,9599,8178,8185
1.804224,9564,8178,8180
1.815821,9537,8178,8180
1.822415,9505,8178,8180
1.83155,9476,8178,8180
1.84444300000001,9446,8178,8182
1.855311,9415,8181,8180
1.861814,9393,8178,8180
1.87241400000001,9365,8178,8180
1.88071900000001,9343,8178,8177
1.891333,9318,8178,8180
1.90248,9302,8181,8182
1.91421200000001,9273,8178,8182
1.922428,9246,8181,8182
1.933013,9224,8178,8182
1.944192,9200,8181,8182
1.953235,9184,8181,8182
1.96234800000001,9163,8178,8182
1.974007,9144,8178,8182
1.982546,9130,8178,8182
1.991425,9109,8181,8182
2.002075,9087,8178,8185
2.010558,9066,8181,8182
2.023717,9047,8178,8182
2.032749,9024,8178,8182
2.042143,9004,8181,8182
2.05375,8985,8181,8185
2.06278,8963,8178,8182
2.071931,8946,8181,8182
2.083206,8924,8178,8182
2.091963,8905,8181,8182
2.103137,8882,8181,8182
2.112895,8863,8181,8182
2.121637,8844,8181,8182
2.132534,8830,8183,8182
2.144528,8811,8186,8182
2.153797,8793,8188,8182
2.162906,8777,8188,8182
2.172122,8753,8191,8182
2.18070700000001,8725,8193,8182
2.19499500000001,8694,8199,8182
2.201235,8678,8201,8185
2.21210600000001,8653,8206,8180
2.222771,8639,8209,8180
2.231515,8624,8214,8180
2.24251,8611,8209,8180
2.251618,8605,8214,8180
2.263106,8608,8217,8180
2.272216,8594,8219,8182
2.283739,8584,8219,8182
2.294364,8581,8222,8177
2.30376,8546,8227,8180
2.312458,8541,8230,8182
2.32275300000001,8525,8230,8182
2.331808,8511,8237,8182
2.34322,8495,8242,8185
2.354054,8498,8242,8185
2.363128,8484,8245,8180
2.372283,8481,8247,8182
2.381405,8468,8255,8182
2.393138,8433,8257,8180
2.402144,8439,8260,8182
2.4134,8428,8263,8182
2.423877,8423,8263,8180
2.432907,8425,8263,8185
2.444223,8417,8270,8180
2.45338,8423,8270,8187
2.46216800000001,8417,8276,8182
2.471279,8409,8278,8182
2.482562,8393,8281,8182
2.493735,8398,8286,8182
2.502656,8372,8286,8187
2.511723,8377,8291,8185
2.52251800000001,8382,8294,8180
2.533254,8401,8296,8177
2.54191,8372,8294,8182
2.550757,8387,8291,8180
2.562356,8401,8291,8185
2.571348,8398,8296,8180
2.58292400000001,8385,8299,8180
2.593814,8387,8299,8180
2.602794,8396,8296,8180
2.611243,8387,8296,8187
2.62188800000001,8366,8296,8185
2.630029,8398,8296,8185
2.64354700000001,8390,8299,8182
2.651996,8393,8291,8180
2.663476,8369,8294,8180
2.672187,8377,8294,8182
2.681273,8387,8291,8182
2.689409,8382,8296,8180
2.701124,8385,8296,8180
2.712706,8385,8291,8180
2.721225,8358,8296,8185
2.732349,8385,8299,8172
2.743273,8369,8294,8180
2.752124,8361,8301,8177
2.760155,8372,8296,8182
2.773605,8366,8304,8174
2.782679,8358,8299,8180
2.79439,8387,8291,8185
2.800916,8377,8296,8180
2.81228100000001,8382,8296,8187
2.820563,8369,8294,8187
2.831703,8414,8299,8185
2.83944,8390,8288,8182
2.850515,8423,8299,8180
2.86149500000001,8396,8291,8180
2.872936,8414,8291,8182
2.88175200000001,8396,8296,8182
2.89310800000001,8417,8291,8180
2.902182,8396,8291,8180
2.913252,8425,8286,8185
2.921301,8382,8296,8180
2.929631,8396,8291,8180
2.94122100000001,8396,8294,8182
2.95274300000001,8412,8291,8185
2.963427,8425,8294,8180
2.969494,8377,8288,8185
2.98089700000001,8385,8288,8182
2.992199,8393,8294,8180
3.001362,8393,8294,8185
3.01307600000001,8377,8291,8180
3.02157800000001,8398,8296,8180
3.031185,8387,8296,8180
3.0425,8414,8296,8190
3.053383,8406,8291,8174
3.059124,8433,8291,8187
3.07008,8396,8288,8185
3.081948,8385,8288,8180
3.090176,8401,8286,8180
3.101544,8398,8288,8182
3.11234,8396,8291,8180
3.12291,8385,8288,8182
3.132047,8442,8288,8187
3.14043,8436,8294,8185
3.149373,8431,8286,8182
3.160189,8471,8283,8182
3.173126,8471,8283,8177
3.179524,8463,8281,8180
3.190442,8484,8281,8182
3.202004,8506,8276,8182
3.210165,8514,8268,8182
3.223658,8533,8265,8185
3.230128,8530,8263,8182
3.241866,8553,8260,8180
3.250592,8570,8257,8187
3.261724,8600,8255,8182
3.27302,8622,8250,8182
3.279502,8635,8242,8185
3.291057,8644,8245,8182
3.30014000000001,8670,8232,8182
3.311734,8672,8230,8185
3.320259,8697,8227,8182
3.331681,8736,8222,8187
3.340352,8772,8214,8185
3.351766,8816,8209,8187
3.359596,8866,8201,8182
3.369532,8913,8196,8185
3.380991,8960,8191,8185
3.392318,9007,8183,8187
3.401406,9043,8175,8187
3.413041,9071,8173,8187
3.41956500000001,9096,8173,8187
3.430993,9122,8173,8200
3.439289,9216,8178,8185
3.450957,9246,8178,8190
3.462141,9290,8178,8190
3.469995,9324,8178,8187
3.481483,9357,8175,8190
3.492531,9387,8178,8190
3.501648,9424,8181,8187
3.513296,9459,8181,8192
3.524199,9497,8181,8190
3.530518,9526,8181,8192
3.539385,9556,8178,8192
3.550601,9588,8181,8187
3.56228400000001,9618,8178,8190
3.56854300000001,9643,8178,8192
3.582494,9668,8178,8192
3.589037,9690,8178,8190
3.603124,9715,8178,8192
3.609621,9740,8178,8190
3.62120700000001,9762,8178,8190
3.630218,9788,8178,8190
3.641489,9812,8178,8192
3.65054,9834,8178,8192
3.662801,9855,8175,8192
3.67054,9876,8178,8192
3.680016,9893,8178,8192
3.69053700000001,9912,8175,8192
3.700825,9926,8178,8192
3.710213,9937,8181,8192
3.71806100000001,9954,8181,8195
3.73035400000001,9965,8181,8195
3.740222,9973,8181,8192
3.74954,9985,8181,8192
3.759121,9993,8181,8192
3.77134700000001,10001,8181,8190
3.776404,10007,8183,8190
3.78999,10015,8181,8192
3.799666,10018,8181,8192
3.809367,10020,8178,8190
3.82066500000001,10023,8178,8190
3.827783,10026,8178,8192
3.838861,10028,8178,8190
3.850244,10026,8181,8190
3.86018,10031,8178,8192
3.867572,10035,8178,8187
3.879098,10041,8181,8192
3.89169800000001,10041,8178,8190
3.899697,10044,8178,8190
3.91071100000001,10047,8178,8190
3.921345,10055,8181,8192
3.929071,10060,8181,8190
3.939362,10063,8181,8190
3.95071100000001,10066,8178,8190
3.962003,10068,8178,8190
3.97054600000001,10079,8178,8190
3.981652,10085,8178,8192
3.98781200000001,10090,8178,8192
3.999065,10098,8178,8192
4.010068,10098,8178,8192
4.018961,10106,8178,8192
4.03261000000001,10118,8178,8192
4.03803600000001,10133,8178,8190
4.050863,10143,8178,8190
4.06201900000001,10165,8178,8190
4.071109,10188,8178,8192
4.07930200000001,10204,8178,8192
4.087986,10221,8178,8192
4.098035,10244,8178,8190
4.111109,10255,8178,8190
4.119055,10271,8178,8190
4.129496,10282,8181,8190
4.13779,10298,8181,8190
4.148634,10316,8181,8192
4.15974300000001,10338,8181,8187
4.168861,10346,8181,8190
4.177717,10360,8181,8192
4.189365,10374,8183,8190
4.201115,10382,8183,8190
4.20965200000001,10388,8181,8187
4.21812,10396,8183,8187
4.229381,10405,8181,8187
4.23889800000001,10410,8178,8187
4.247852,10413,8178,8187
4.261389,10413,8178,8185
4.267971,10416,8178,8182
4.282065,10416,8178,8185
4.28782200000001,10419,8178,8185
4.301641,10416,8178,8185
4.310143,10408,8178,8182
4.320063,10410,8178,8182
4.329981,10408,8178,8185
4.337524,10401,8178,8182
4.348438,10399,8181,8182
4.360463,10393,8181,8187
4.370981,10390,8178,8187
4.377357,10382,8181,8187
4.389095,10382,8178,8185
4.398269,10374,8178,8182
4.40920300000001,10366,8178,8185
4.417728,10366,8178,8182
4.430042,10366,8181,8185
4.437438,10363,8175,8185
4.45144000000001,10357,8178,8187
4.45802800000001,10351,8175,8187
4.467354,10346,8178,8185
4.478877,10349,8175,8185
4.48986,10346,8175,8187
4.498973,10343,8175,8187
4.51046100000001,10343,8175,8187
4.519308,10343,8175,8185
4.53106,10346,8178,8185
4.539877,10341,8175,8185
4.551106,10341,8178,8182
4.560223,10338,8178,8185
4.571503,10335,8181,8187
4.578052,10335,8178,8182
4.589574,10335,8178,8185
4.598519,10335,8181,8187
4.610032,10333,8178,8187
4.618895,10333,8178,8187
4.63059000000001,10333,8181,8187
4.63938,10330,8178,8185
4.65141300000001,10330,8178,8185
4.660812,10330,8178,8185
4.669026,10330,8178,8187
4.677767,10330,8178,8185
4.689548,10327,8178,8185
4.698542,10327,8178,8187
4.71020900000001,10330,8178,8187
4.719321,10327,8178,8187
4.730044,10327,8178,8185
4.740669,10330,8178,8185
4.751474,10330,8178,8187
4.758,10330,8183,8185
4.76632,10330,8181,8185
4.777726,10327,8181,8185
4.789126,10322,8181,8185
4.799945,10316,8181,8187
4.808985,10307,8181,8187
4.82033300000001,10310,8181,8185
4.828834,10303,8183,8185
4.839219,10301,8181,8182
4.849539,10295,8181,8187
4.858286,10295,8178,8187
4.870091,10293,8178,8185
4.878941,10290,8178,8187
4.89068200000001,10285,8178,8182
4.899368,10282,8178,8182
4.910857,10282,8175,8187
4.917315,10276,8181,8185
4.928983,10276,8178,8185
4.93696300000001,10274,8178,8185
4.94890100000001,10271,8178,8185
4.957466,10271,8178,8185
4.968752,10271,8178,8187
4.98009,10268,8178,8187
4.98923000000001,10266,8178,8187
5.000439,10266,8181,8187
5.00925,10263,8178,8185
5.017278,10263,8178,8185
5.027324,10260,8181,8185
5.039056,10260,8181,8185
5.048242,10263,8181,8185
5.05621,10263,8181,8187
5.067624,10263,8181,8185
5.079131,10257,8178,8185
5.08823,10257,8178,8187
5.09992200000001,10263,8178,8185
5.106175,10257,8178,8185
5.119989,10257,8175,8185
5.128559,10255,8178,8187
5.140036,10255,8178,8185
5.14861000000001,10249,8178,8187
5.15976300000001,10249,8178,8187
5.16775800000001,10247,8178,8185
5.179125,10244,8183,8185
5.187576,10238,8181,8185
5.19652,10233,8183,8182
5.210427,10229,8183,8185
5.216912,10224,8181,8182
5.228284,10224,8181,8182
5.23958,10224,8183,8185
5.248607,10224,8181,8185
5.259399,10224,8181,8182
5.26710600000001,10227,8181,8182
5.277738,10224,8175,8182
5.286155,10224,8175,8185
5.300328,10221,8178,8185
5.30941900000001,10221,8175,8185
5.318316,10218,8175,8185
5.32746700000001,10215,8175,8185
5.338995,10218,8175,8185
5.348032,10215,8175,8187
5.359601,10215,8178,8185
5.36864300000001,10215,8175,8187
5.380476,10212,8175,8187
5.389009,10215,8181,8187
5.39749500000001,10215,8181,8185
5.40647000000001,10212,8183,8187
5.417699,10212,8181,8187
5.426796,10212,8183,8182
5.43840400000001,10209,8183,8185
5.447266,10209,8183,8187
5.458407,10207,8181,8185
5.467426,10207,8181,8185
5.47861200000001,10201,8181,8187
5.48693400000001,10199,8178,8182
5.495396,10196,8178,8185
5.509342,10199,8178,8182
5.52049700000001,10196,8178,8185
5.52688000000001,10199,8178,8185
5.538262,10201,8178,8182
5.547305,10196,8178,8182
5.557031,10193,8178,8182
5.566588,10193,8181,8182
5.576118,10188,8178,8185
5.58920000000001,10188,8181,8185
5.60002,10177,8178,8185
5.608875,10174,8178,8185
5.617992,10170,8178,8185
5.629125,10168,8181,8187
5.638271,10165,8178,8185
5.649929,10165,8178,8185
5.656193,10162,8181,8185
5.667921,10160,8178,8185
5.67696100000001,10160,8178,8185
5.68863,10157,8178,8182
5.69931200000001,10157,8178,8182
5.705766,10154,8181,8185
5.71977500000001,10154,8178,8185
5.72841500000001,10149,8178,8185
