Time [s],Gauge Pressure,Inspiratory differenrtial pressure,Expiratory differenrtial pressure
0,8691,8222,8279
0.0032690000000013,8689,8219,8269
0.00781900000000135,8686,8217,8269
0.0241720000000001,8680,8224,8266
0.0308930000000007,8683,8222,8277
0.0322560000000003,8680,8224,8272
0.0408700000000017,8675,8219,8261
0.0489270000000008,8670,8222,8277
0.059844,8675,8219,8272
0.0683870000000013,8675,8224,8277
0.0817790000000009,8672,8217,8269
0.0907350000000005,8670,8222,8269
0.0992340000000009,8675,8219,8266
0.110186000000001,8667,8222,8272
0.119185000000002,8661,8224,8269
0.129943000000001,8667,8222,8266
0.137332000000001,8656,8222,8261
0.148213,8661,8224,8269
0.161587000000001,8659,8227,8264
0.170566000000001,8650,8222,8272
0.181742000000002,8644,8227,8264
0.187673,8650,8227,8259
0.201755,8639,8227,8259
0.208225000000001,8632,8230,8259
0.221807,8627,8237,8251
0.227957,8627,8230,8251
0.240694000000001,8611,8230,8246
0.251701000000001,8611,8237,8248
0.260334,8597,8239,8251
0.270067000000001,8592,8242,8248
0.277613000000001,8592,8245,8241
0.288452000000001,8589,8242,8251
0.300031000000001,8589,8239,8243
0.310595000000001,8594,8242,8238
0.319616000000002,8594,8245,8235
0.33135,8589,8245,8251
0.339609000000001,8594,8239,8254
0.34877,8584,8245,8241
0.356433000000001,8584,8250,8238
0.369581,8576,8250,8231
0.380370000000001,8576,8252,8238
0.388956,8573,8247,8241
0.400261,8570,8252,8235
0.411047,8565,8255,8238
0.419712000000001,8556,8255,8238
0.430931000000001,8558,8257,8238
0.437006,8562,8255,8235
0.448612000000001,8544,8260,8231
0.460138000000001,8541,8263,8231
0.471299,8530,8263,8228
0.477295000000002,8525,8265,8228
0.488737,8519,8265,8218
0.499528000000002,8506,8265,8226
0.508193,8506,8265,8218
0.519745,8490,8273,8218
0.528071000000001,8490,8281,8221
0.539579000000002,8484,8268,8223
0.550640000000001,8471,8283,8221
0.559358000000001,8471,8278,8213
0.570942000000001,8455,8281,8218
0.579692000000001,8452,8288,8205
0.591178000000001,8436,8286,8210
0.600134000000001,8436,8296,8208
0.609167000000001,8414,8296,8200
0.618147,8404,8304,8200
0.629753000000001,8401,8301,8203
0.639759000000002,8356,8308,8195
0.648454000000001,8364,8308,8195
0.659458000000001,8345,8308,8203
0.668419,8329,8315,8205
0.678687,8304,8318,8203
0.690273000000001,8285,8331,8187
0.699398,8285,8331,8195
0.710765,8254,8331,8190
0.719681000000001,8249,8341,8192
0.731162000000001,8252,8338,8185
0.737627000000002,8238,8346,8185
0.749159000000001,8195,8359,8185
0.757804,8227,8349,8182
0.768882000000001,8163,8362,8177
0.776933000000001,8133,8375,8190
0.787566,8122,8369,8180
0.798503,8136,8384,8182
0.809829000000001,8122,8384,8169
0.818537000000001,8101,8390,8180
0.830111,8094,8397,8177
0.839125000000001,8074,8395,8187
0.850656000000001,8083,8387,8190
0.858879000000002,8050,8405,8182
0.867782,8083,8408,8174
0.876565000000001,8074,8408,8180
0.88944,8074,8392,8180
0.897861000000001,8077,8418,8174
0.908076000000001,8094,8410,8177
0.919481000000001,7978,8402,8180
0.928336000000002,8066,8418,8174
0.936683,8042,8431,8182
0.950417000000002,8050,8421,8177
0.959159000000001,8069,8415,8180
0.968126000000002,8053,8428,8190
0.979573,8103,8421,8172
0.989299000000001,8037,8421,8182
0.997542000000001,8047,8431,8180
1.008103,8072,8428,8174
1.019707,8028,8426,8174
1.028377,8045,8428,8180
1.038862,8109,8415,8177
1.050392,7988,8423,8174
1.059198,8109,8426,8182
1.070574,8015,8426,8190
1.076979,8074,8446,8182
1.08772,8034,8433,8169
1.098804,8066,8436,8167
1.110317,7988,8426,8185
1.118854,8064,8436,8172
1.127417,8023,8431,8180
1.138696,8103,8421,8180
1.147501,7980,8426,8177
1.158802,8037,8444,8185
1.167483,8055,8423,8177
1.178774,8015,8418,8169
1.188699,8077,8418,8180
1.197352,8009,8433,8185
1.207708,8037,8446,8187
1.216525,8034,8423,8177
1.230052,8055,8428,8187
1.23894,8023,8439,8174
1.248097,8026,8431,8185
1.256842,8066,8431,8182
1.267722,8150,8428,8167
1.279016,7980,8415,8185
1.289716,8085,8441,8172
1.295784,8045,8433,8169
1.309441,8069,8436,8177
1.318186,8053,8439,8180
1.32893,8055,8426,8177
1.337639,8088,8433,8177
1.348918,8064,8428,8180
1.357096,8085,8426,8177
1.368281,8007,8431,8172
1.379044,8047,8421,8187
1.387219,8064,8413,8187
1.398923,8050,8418,8177
1.407067,8088,8426,8185
1.418442,8064,8426,8177
1.429159,8094,8415,8177
1.437965,8106,8426,8182
1.448957,8077,8402,8177
1.457761,8094,8421,8180
1.469413,8088,8413,8172
1.475449,8045,8421,8174
1.488167,8120,8428,8174
1.496434,8101,8418,8185
1.507977,8069,8418,8182
1.51622,8109,8418,8172
1.527258,8069,8413,8185
1.53854,8112,8408,8190
1.548882,8053,8426,8177
1.557847,8125,8426,8177
1.566422,8120,8410,8185
1.579979,8125,8413,8190
