Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,-0.954791144842164,0.30972973113479,0,550,82
0.01,-0.922607173667709,0.268515262170148,0.00289122496652469,1402,0
0.02,-0.858239231318799,0.30972973113479,0.00578244993304939,2137,0
0.03,-0.836783250535829,0.30972973113479,0.00887974724439729,2931,0
0.04,-0.772415308186919,0.111894124921677,0.0109878665246796,3743,0
0.05,-0.750959327403949,0.111894124921677,0.0121068077738964,0,0
0.06,-0.718775356229494,0.19066293693981,0.0136195930832038,0,0
0.07,-0.686591385055039,-0.152406677359627,0.0138108743811047,0,0
0.08,-0.632951433097614,0.111894124921677,0.013608311618915,0,0
0.09,-0.568583490748704,-0.152406677359627,0.0134057488567252,0,0
0.1,-0.514943538791279,-0.152406677359627,0.011881682083129,0,0
0.11,-0.450575596442369,-0.152406677359627,0.0103576153095327,0,0
0.12,-0.396935644484945,-0.152406677359627,0.00883354853593641,0,0
0.13,-0.34329569252752,-0.242849512660806,0.00685726758583424,0,0
0.14,-0.311111721353065,-0.242849512660806,0.00442877245922618,0,0
0.15,-0.225287798221185,-0.242849512660806,0.00200027733261812,0,0
0.16,-0.160919855872275,-0.242849512660806,-0.000428217793989938,0,0
0.17,-0.10727990391485,-0.242849512660806,-0.002856712920598,0,0
0.18,-0.0750959327403949,-0.242849512660806,-0.00528520804720606,0,0
0.19,-0.0429119615659399,-0.287763698423059,-0.00793827410262538,0,0
0.2,-0.0429119615659399,-0.287763698423059,-0.010815911086856,0,0
0.21,-0.0429119615659399,-0.242849512660806,-0.0134689771422753,0,0
0.22,0.32183971174455,-0.216932836689902,-0.0157678888890288,0,0
0.23,0.289655740570095,-0.287763698423059,-0.0182913715645936,0,0
0.24,0.23601578861267,-0.242849512660806,-0.020944437620013,0,0
0.25,0.268199759787125,-0.152406677359627,-0.0229207185701151,0,0
0.26,0.32183971174455,-0.152406677359627,-0.0244447853437114,0,0
