Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,3.90498850250053,-0.801786358014081,0,238,59
0.01,3.87280453132608,-0.755887017288897,-0.00778836687651489,921,0
0.02,3.82989256976014,-0.80918316471782,-0.0156137177865485,1680,0
0.03,3.90498850250053,-0.852216859170438,-0.0239207179059898,2373,0
0.04,3.87280453132608,-0.852216859170438,-0.0324428864976941,3053,0
0.05,3.87280453132608,-0.852216859170438,-0.0409650550893985,0,0
0.06,3.96935644484944,-0.80918316471782,-0.0492720552088398,0,0
0.07,3.87280453132608,-0.830978630626887,-0.0574728641855633,0,0
0.08,3.82989256976014,-0.779174738682983,-0.0655236310321127,0,0
0.09,3.9264444832835,-0.830978630626887,-0.073574397878662,0,0
0.1,3.87280453132608,-0.80918316471782,-0.0817752068553856,0,0
0.11,3.87280453132608,-0.830978630626887,-0.0899760158321091,0,0
0.12,3.9264444832835,-0.801786358014081,-0.0981398407753139,0,0
0.13,3.87280453132608,-0.801786358014081,-0.106157704355455,0,0
0.14,3.79770859858569,-0.830978630626887,-0.11432152929866,0,0
0.15,3.82989256976014,-0.80918316471782,-0.122522338275383,0,0
0.16,3.74406864662826,-0.786784153098521,-0.130502174864465,0,0
0.17,3.77625261780272,-0.801786358014081,-0.138445027420028,0,0
0.18,3.71188467545381,-0.755887017288897,-0.146233394296543,0,0
0.19,3.82989256976014,-0.830978630626887,-0.154167722536122,0,0
0.2,3.62606075232193,-0.755887017288897,-0.162102050775701,0,0
0.21,3.69042869467084,-0.786784153098521,-0.169815406627638,0,0
0.22,3.77625261780272,-0.801786358014081,-0.177758259183201,0,0
0.23,3.77625261780272,-0.80918316471782,-0.18581310679686,0,0
0.24,3.77625261780272,-0.786784153098521,-0.193792943385942,0,0
0.25,3.77625261780272,-0.755887017288897,-0.201506299237879,0,0
0.26,3.79770859858569,-0.830978630626887,-0.209440627477458,0,0
0.27,3.71188467545381,-0.779174738682983,-0.217491394324007,0,0
0.28,3.71188467545381,-0.779174738682983,-0.225283141710837,0,0
0.29,3.65824472349638,-0.786784153098521,-0.233112936169745,0,0
0.3,3.74406864662826,-0.801786358014081,-0.241055788725308,0,0
0.31,3.65824472349638,-0.779174738682983,-0.248960594208793,0,0
0.32,3.71188467545381,-0.830978630626887,-0.257011361055342,0,0
0.33,3.65824472349638,-0.786784153098521,-0.265100174973969,0,0
0.34,3.69042869467084,-0.779174738682983,-0.272929969432877,0,0
0.35,3.69042869467084,-0.80918316471782,-0.280871758949881,0,0
0.36,3.74406864662826,-0.755887017288897,-0.288697109859914,0,0
0.37,3.74406864662826,-0.779174738682983,-0.296372418639774,0,0
0.38,3.69042869467084,-0.80918316471782,-0.304314208156778,0,0
0.39,3.69042869467084,-0.80918316471782,-0.312406039803956,0,0
0.4,3.65824472349638,-0.755887017288897,-0.32023139071399,0,0
0.41,3.65824472349638,-0.779174738682983,-0.327906699493849,0,0
0.42,3.65824472349638,-0.779174738682983,-0.335698446880679,0,0
0.43,3.62606075232193,-0.779174738682983,-0.343490194267509,0,0
0.44,3.59387678114747,-0.755887017288897,-0.351165503047368,0,0
0.45,3.65824472349638,-0.755887017288897,-0.358724373220257,0,0
0.46,3.69042869467084,-0.779174738682983,-0.366399682000116,0,0
0.47,3.59387678114747,-0.779174738682983,-0.374191429386946,0,0
0.48,3.5724208003645,-0.755887017288897,-0.381866738166806,0,0
0.49,3.54023682919005,-0.731858656032786,-0.389305466533414,0,0
0.5,3.50805285801559,-0.763728494342831,-0.396783402285292,0,0
0.51,3.50805285801559,-0.755887017288897,-0.404381479843451,0,0
0.52,3.48659687723262,-0.739954811171181,-0.411860688985751,0,0
0.53,3.48659687723262,-0.689954303982372,-0.419010234561519,0,0
0.54,3.42222893488371,-0.739954811171181,-0.426159780137287,0,0
0.55,3.45441290605817,-0.731858656032786,-0.433518847473306,0,0
0.56,3.40077295410074,-0.689954303982372,-0.440627912273382,0,0
0.57,3.48659687723262,-0.689954303982372,-0.447527455313206,0,0
0.58,3.42222893488371,-0.715391523628558,-0.454554184451261,0,0
0.59,3.42222893488371,-0.755887017288897,-0.461910577155848,0,0
0.6,3.40077295410074,-0.654501964032766,-0.468962522062456,0,0
0.61,3.42222893488371,-0.739954811171181,-0.475934805938476,0,0
0.62,3.45441290605817,-0.698536306679233,-0.483127261527728,0,0
