Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,-3.79770859858569,0.824510754597369,0,284,74
0.01,-4.07663634876429,0.838838509355197,0.00831674631976283,608,0
0.02,-4.04445237758984,0.824510754597369,0.0166334926395257,929,0
0.03,-3.94790046406647,0.838838509355197,0.0249502389592885,1245,0
0.04,-3.91571649289202,0.824510754597369,0.0332669852790513,1645,0
0.05,-4.07663634876429,0.824510754597369,0.041512092825025,1990,0
0.06,-3.59387678114747,0.824510754597369,0.0497572003709987,2329,0
0.07,-3.91571649289202,0.764519288915994,0.0577023505885655,2664,0
0.08,-3.91571649289202,0.824510754597369,0.0656475008061323,3002,0
0.09,-3.86207654093459,0.838838509355197,0.0739642471258951,3296,0
0.1,-3.79770859858569,0.859882628777345,0.0824578528165578,3684,0
0.11,-3.77625261780272,0.838838509355197,0.0909514585072206,3983,0
0.12,-3.74406864662826,0.824510754597369,0.0992682048269834,4285,0
0.13,-3.79770859858569,0.87363046856412,0.107758910942791,0,0
0.14,-3.77625261780272,0.87363046856412,0.116495215628432,0,0
0.15,-3.89426051210905,0.838838509355197,0.125057560518029,0,0
0.16,-3.79770859858569,0.838838509355197,0.133445945611581,0,0
0.17,-3.71188467545381,0.838838509355197,0.141834330705133,0,0
0.18,-3.89426051210905,0.852925615225487,0.150293151328036,0,0
0.19,-3.74406864662826,0.802539652572341,0.158570477667025,0,0
0.2,-3.62606075232193,0.802539652572341,0.166595874192749,0,0
0.21,-3.91571649289202,0.787551797420593,0.174546331442713,0,0
0.22,-3.71188467545381,0.838838509355197,0.182678282976592,0,0
0.23,-3.79770859858569,0.787551797420593,0.190810234510471,0,0
0.24,-3.65824472349638,0.838838509355197,0.19894218604435,0,0
0.25,-3.62606075232193,0.764519288915994,0.206958975035706,0,0
0.26,-3.62606075232193,0.824510754597369,0.214904125253273,0,0
0.27,-3.45441290605817,0.772273120916351,0.222888044630841,0,0
0.28,-3.15402917509659,0.772273120916351,0.230610775840005,0,0
0.29,-3.18621314627104,0.724506447382148,0.238094673681497,0,0
0.3,-3.25058108861995,0.707868301287588,0.245256547424846,0,0
0.31,-2.97165333844134,0.707868301287588,0.252335230437722,0,0
0.32,-2.7892775017861,0.664452692929647,0.259196835408808,0,0
0.33,-2.73563754982867,0.655424557806768,0.26579622166249,0,0
0.34,-2.56398970356491,0.636984529361327,0.272258267098331,0,0
0.35,-2.499621761216,0.636984529361327,0.278628112391944,0,0
0.36,-2.3601578861267,0.617994522884422,0.284903007653173,0,0
0.37,-2.32797391495224,0.557154421434099,0.290778752374765,0,0
0.38,-2.18851003986294,0.557154421434099,0.296350296589106,0,0
0.39,-2.20996602064591,0.557154421434099,0.301921840803447,0,0
0.4,-2.08123013594809,0.524092509799345,0.307328075459614,0,0
0.41,-1.86667032811839,0.500840192573689,0.31245273897148,0,0
0.42,-1.86667032811839,0.46378099141886,0.317275844891442,0,0
