Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,5.09579543595537,-0.663542652048842,0,137,56
0.01,5.12797940712982,-0.597391529845518,-0.0063046709094718,582,0
0.02,5.14943538791279,-0.636035188171395,-0.0124718044995564,1037,0
0.03,5.06361146478091,-0.545249015684442,-0.0183782255188356,1560,0
0.04,5.06361146478091,-0.663542652048842,-0.024422183857502,2060,0
0.05,5.06361146478091,-0.487561625108599,-0.0301777052432892,2499,0
0.06,5.03142749360646,-0.511418027262497,-0.0351726035051447,2947,0
0.07,4.97778754164903,-0.672461806538686,-0.0410920026741506,3405,0
0.08,5.00997151282349,-0.487561625108599,-0.046892119832387,3888,0
0.09,5.03142749360646,-0.566682053214481,-0.0521633382240024,4317,0
0.1,4.97778754164903,-0.511418027262497,-0.0575538386263873,0,0
0.11,5.00997151282349,-0.617015964349137,-0.0631960085844454,0,0
0.12,4.97778754164903,-0.534210126204652,-0.0689521390372144,0,0
0.13,5.03142749360646,-0.534210126204652,-0.0742942402992609,0,0
0.14,5.00997151282349,-0.534210126204652,-0.0796363415613074,0,0
0.15,5.03142749360646,-0.617015964349137,-0.0853924720140764,0,0
0.16,5.00997151282349,-0.511418027262497,-0.0910346419721346,0,0
0.17,4.97778754164903,-0.566682053214481,-0.0964251423745194,0,0
0.18,5.03142749360646,-0.597391529845518,-0.102245510289819,0,0
0.19,4.94560357047458,-0.587333474072358,-0.108169135309409,0,0
0.2,5.03142749360646,-0.566682053214481,-0.113939212945843,0,0
0.21,4.97778754164903,-0.566682053214481,-0.119606033477988,0,0
0.22,4.97778754164903,-0.449408775818573,-0.124686487623153,0,0
0.23,5.09579543595537,-0.545249015684442,-0.129659776580668,0,0
0.24,5.03142749360646,-0.587333474072358,-0.135322689029452,0,0
0.25,5.03142749360646,-0.487561625108599,-0.140697164525357,0,0
0.26,5.09579543595537,-0.597391529845518,-0.146121930300128,0,0
0.27,5.03142749360646,-0.475184499024615,-0.151484810444478,0,0
0.28,5.03142749360646,-0.511418027262497,-0.156417823075914,0,0
0.29,5.09579543595537,-0.645334634710926,-0.162201586385781,0,0
