Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,8.77549614023472,0.245325122751503,0,333,74
0.01,8.20691264948601,0.245325122751503,0.00245325122751503,680,0
0.02,7.73488107226068,0.245325122751503,0.00490650245503007,1014,0
0.03,7.31648944699276,0.245325122751503,0.0073597536825451,1279,0
0.04,7.02683370642267,0.245325122751503,0.00981300491006014,1634,0
0.05,6.75863394663554,0.268515262170148,0.0123822068346684,1966,0
0.06,6.42606624449951,0.30972973113479,0.0152734318011931,2300,0
0.07,6.15786648471238,0.30972973113479,0.018370729112541,2621,0
0.08,5.9325786864912,0.362878212138203,0.021733768828906,2924,0
0.09,5.62146696513813,0.437333680009823,0.0257348282896461,3249,0
0.1,5.41763514769992,0.437333680009823,0.0301081650897443,3581,0
0.11,5.2138033302617,0.500840192573689,0.0347990344526619,3963,0
0.12,5.06361146478091,0.535340068548058,0.0399799357582706,4266,0
0.13,4.75249974342785,0.608277239546148,0.0456980222987416,0,0
0.14,4.46284400285775,0.617994522884422,0.0518293811108945,0,0
0.15,4.37702007972587,0.608277239546148,0.0579607399230473,0,0
0.16,4.25901218541954,0.682150600287053,0.0644128791222133,0,0
0.17,4.17318826228766,0.740770985277385,0.0715274870500355,0,0
0.18,3.87280453132608,0.748770781210172,0.0789751958824733,0,0
0.19,3.71188467545381,0.787551797420593,0.0866568087756271,0,0
0.2,3.5724208003645,0.824510754597369,0.0947171215357169,0,0
0.21,3.42222893488371,0.880423889821731,0.103241794757812,0,0
0.22,3.19694113666253,0.824510754597369,0.111766467979908,0,0
0.23,3.04674927118174,0.859882628777345,0.120188434896781,0,0
0.24,3.01456530000728,0.988796611330308,0.12943183109732,0,0
0.25,2.90728539609243,0.913633611791479,0.138943982212929,0,0
0.26,2.61762965552234,1.04161557691198,0.148720228156446,0,0
0.27,2.29578994377779,1.00671089647132,0.158961860523362,0,0
0.28,2.27433396299482,1.0473199321272,0.169232014666355,0,0
0.29,2.24214999182036,1.08091406745518,0.179873184664267,0,0
0.3,2.18851003986294,1.08091406745518,0.190682325338819,0,0
0.31,2.18851003986294,1.14514958988146,0.201812643625502,0,0
0.32,2.0705021455566,1.13469622493209,0.21321187269957,0,0
0.33,1.69502248185463,1.09188244859648,0.224344766067213,0,0
0.34,1.86667032811839,1.1503406510121,0.235555881565255,0,0
0.35,1.31954281815265,1.21580919782643,0.247386630809448,0,0
0.36,1.66283851068017,1.16065312376328,0.259268942417397,0,0
0.37,1.2873588469782,1.20101786623828,0.271077297367404,0,0
0.38,1.52337463559087,1.25914108701397,0.283378092133666,0,0
0.39,1.46973468363344,1.21580919782643,0.295752843557868,0,0
0.4,1.16935095267186,1.235255490245,0.308008166998225,0,0
0.41,1.08352702953998,1.22069981391193,0.32028794351901,0,0
0.42,0.933335164059194,1.28258193805816,0.33280435227886,0,0
0.43,0.997703106408104,1.24486472618953,0.345441585600098,0,0
0.44,1.11571100071444,1.25914108701397,0.357961614666116,0,0
0.45,0.783143298578404,1.22069981391193,0.370360819170745,0,0
0.46,1.20153492384632,1.25440035349224,0.382736320007766,0,0
0.47,1.06207104875701,1.30560199856593,0.395536331768057,0,0
0.48,1.20153492384632,1.26856940580216,0.408407188789898,0,0
0.49,1.20153492384632,1.31469716626677,0.421323521650242,0,0
0.5,0.976247125625134,1.26856940580216,0.434239854510587,0,0
0.51,0.976247125625134,1.31469716626677,0.447156187370931,0,0
0.52,1.06207104875701,1.24486472618953,0.459953996833213,0,0
0.53,1.11571100071444,1.2918391881978,0.47263751640515,0,0
0.54,1.11571100071444,1.28258193805816,0.485509622036429,0,0
0.55,0.933335164059194,1.33716445877693,0.498608354020605,0,0
0.56,0.976247125625134,1.31469716626677,0.511867662145823,0,0
0.57,0.976247125625134,1.31922123586423,0.525037254156478,0,0
0.58,1.37318277011008,1.30103057169849,0.538138513194292,0,0
0.59,1.43755071245899,1.2918391881978,0.551102861993773,0,0
0.6,1.40536674128453,1.2918391881978,0.564021253875752,0,0
0.61,1.16935095267186,1.2918391881978,0.57693964575773,0,0
0.62,1.43755071245899,1.30560199856593,0.589926851691548,0,0
0.63,1.06207104875701,1.30560199856593,0.602982871677208,0,0
0.64,0.901151192884739,1.25914108701397,0.615806587105107,0,0
0.65,1.35172678932711,1.2918391881978,0.628561488481166,0,0
0.66,1.49119066441641,1.41509622739619,0.642096165559136,0,0
0.67,0.976247125625134,1.2918391881978,0.655630842637106,0,0
0.68,0.976247125625134,1.28258193805816,0.668502948268386,0,0
0.69,0.665135404272069,1.30560199856593,0.681443867951506,0,0
0.7,1.14789497188889,1.35487007143757,0.694746228301524,0,0
0.71,0.783143298578404,1.32822314747397,0.708161694396081,0,0
0.72,1.23371889502077,1.34161276826864,0.721510873974794,0,0
0.73,0.783143298578404,1.30560199856593,0.734746947808967,0,0
0.74,0.997703106408104,1.2918391881978,0.747734153742786,0,0
0.75,0.976247125625134,1.31922123586423,0.760789455863096,0,0
0.76,1.14789497188889,1.30103057169849,0.77389071490091,0,0
0.77,1.20153492384632,1.26856940580216,0.786738714788413,0,0
0.78,1.16935095267186,1.30560199856593,0.799609571810253,0,0
0.79,1.31954281815265,1.33716445877693,0.812823404096968,0,0
0.8,1.23371889502077,1.30103057169849,0.826014379249345,0,0
0.81,1.26590286619523,1.24486472618953,0.838743855738785,0,0
0.82,1.52337463559087,1.26856940580216,0.851311026398743,0,0
0.83,1.55555860676532,1.31469716626677,0.864227359259088,0,0
0.84,1.60919855872275,1.30560199856593,0.877328855083251,0,0
0.85,1.46973468363344,1.22069981391193,0.889960364145641,0,0
0.86,2.0705021455566,1.25914108701397,0.90235956865027,0,0
0.87,1.6413825298972,1.235255490245,0.914831551536565,0,0
