Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,5.43909112848289,-0.645334634710926,0,270,60
0.01,5.38545117652546,-0.747963336494939,-0.00696648985602933,776,0
0.02,5.47127509965734,-0.731858656032786,-0.014365599818668,1434,0
0.03,5.35326720535101,-0.645334634710926,-0.0212515662723865,2030,0
0.04,5.33181122456804,-0.689954303982372,-0.027928010965853,2664,0
0.05,5.33181122456804,-0.672461806538686,-0.0347400915184583,3192,0
0.06,5.29962725339358,-0.597391529845518,-0.0410893582003793,3733,0
0.07,5.35326720535101,-0.707014145483898,-0.0476113865770264,4263,0
0.08,5.23525931104467,-0.715391523628558,-0.0547234149225887,0,0
0.09,5.23525931104467,-0.779174738682983,-0.0621962462341464,0,0
0.1,5.2138033302617,-0.672461806538686,-0.0694544289602547,0,0
0.11,5.14943538791279,-0.626597742117667,-0.0759497267035365,0,0
0.12,5.06361146478091,-0.689954303982372,-0.0825324869340367,0,0
0.13,5.06361146478091,-0.689954303982372,-0.0894320299738604,0,0
0.14,5.03142749360646,-0.689954303982372,-0.0963315730136841,0,0
0.15,5.12797940712982,-0.566682053214481,-0.102614754799668,0,0
0.16,5.06361146478091,-0.689954303982372,-0.108897936585653,0,0
0.17,5.03142749360646,-0.626597742117667,-0.115480696816153,0,0
0.18,5.00997151282349,-0.636035188171395,-0.121793861467598,0,0
0.19,5.09579543595537,-0.617015964349137,-0.128059117230201,0,0
0.2,5.06361146478091,-0.617015964349137,-0.134229276873692,0,0
0.21,5.14943538791279,-0.672461806538686,-0.140676665728131,0,0
0.22,5.00997151282349,-0.645334634710926,-0.147265647934379,0,0
0.23,5.18161935908725,-0.771490274233208,-0.1543497724791,0,0
0.24,5.12797940712982,-0.645334634710926,-0.161433897023821,0,0
0.25,5.14943538791279,-0.566682053214481,-0.167493980463448,0,0
0.26,5.09579543595537,-0.617015964349137,-0.173412470551266,0,0
0.27,5.18161935908725,-0.597391529845518,-0.179484508022239,0,0
0.28,5.23525931104467,-0.587333474072358,-0.185408133041829,0,0
0.29,5.2138033302617,-0.617015964349137,-0.191429880233936,0,0
0.3,5.14943538791279,-0.636035188171395,-0.197695135996539,0,0
0.31,5.2138033302617,-0.617015964349137,-0.203960391759141,0,0
0.32,5.23525931104467,-0.707014145483898,-0.210580542308306,0,0
0.33,5.26744328221913,-0.617015964349137,-0.217200692857472,0,0
0.34,5.14943538791279,-0.645334634710926,-0.223512445852772,0,0
0.35,5.33181122456804,-0.794320674370383,-0.230710722398178,0,0
0.36,5.23525931104467,-0.626597742117667,-0.237815314480619,0,0
0.37,5.2138033302617,-0.645334634710926,-0.244174976364762,0,0
0.38,5.23525931104467,-0.755887017288897,-0.251181084624761,0,0
0.39,5.18161935908725,-0.663542652048842,-0.258278232971449,0,0
0.4,5.18161935908725,-0.731858656032786,-0.265255239511858,0,0
0.41,5.18161935908725,-0.779174738682983,-0.272810406485436,0,0
0.42,5.23525931104467,-0.731858656032786,-0.280365573459015,0,0
0.43,5.14943538791279,-0.715391523628558,-0.287601824357322,0,0
0.44,5.18161935908725,-0.731858656032786,-0.294838075255629,0,0
0.45,5.14943538791279,-0.663542652048842,-0.301815081796037,0,0
0.46,5.09579543595537,-0.755887017288897,-0.308912230142725,0,0
0.47,5.12797940712982,-0.755887017288897,-0.316471100315614,0,0
0.48,5.06361146478091,-0.645334634710926,-0.323477208575614,0,0
0.49,5.06361146478091,-0.689954303982372,-0.33015365326908,0,0
0.5,5.12797940712982,-0.597391529845518,-0.336590382438219,0,0
0.51,5.06361146478091,-0.617015964349137,-0.342662419909193,0,0
0.52,5.03142749360646,-0.663542652048842,-0.349065212991183,0,0
0.53,5.03142749360646,-0.689954303982372,-0.355832697771339,0,0
0.54,5.00997151282349,-0.715391523628558,-0.362859426909393,0,0
0.55,4.91341959930012,-0.597391529845518,-0.369423342176764,0,0
0.56,5.06361146478091,-0.626597742117667,-0.37554328853658,0,0
0.57,4.97778754164903,-0.672461806538687,-0.382038586279861,0,0
0.58,5.14943538791279,-0.636035188171395,-0.388581071253412,0,0
0.59,5.14943538791279,-0.663542652048842,-0.395078960454513,0,0
0.6,5.14943538791279,-0.689954303982372,-0.401846445234669,0,0
0.61,5.09579543595537,-0.689954303982372,-0.408745988274493,0,0
0.62,5.14943538791279,-0.636035188171395,-0.415375935735262,0,0
0.63,5.14943538791279,-0.715391523628558,-0.422133069294261,0,0
0.64,5.03142749360646,-0.715391523628558,-0.429286984530547,0,0
0.65,5.12797940712982,-0.731858656032786,-0.436523235428854,0,0
0.66,5.09579543595537,-0.545249015684442,-0.44290877378744,0,0
0.67,5.14943538791279,-0.672461806538686,-0.448997327898556,0,0
0.68,5.09579543595537,-0.689954303982372,-0.455809408451161,0,0
0.69,5.09579543595537,-0.663542652048842,-0.462576893231317,0,0
0.7,4.94560357047458,-0.626597742117667,-0.469027595202149,0,0
0.71,5.06361146478091,-0.636035188171395,-0.475340759853595,0,0
0.72,5.03142749360646,-0.617015964349137,-0.481606015616197,0,0
0.73,5.12797940712982,-0.663542652048842,-0.488008808698187,0,0
0.74,5.06361146478091,-0.689954303982372,-0.494776293478343,0,0
0.75,5.14943538791279,-0.715391523628558,-0.501803022616398,0,0
0.76,5.06361146478091,-0.626597742117667,-0.508512968945129,0,0
0.77,5.12797940712982,-0.689954303982372,-0.515095729175629,0,0
0.78,5.12797940712982,-0.645334634710926,-0.521772173869096,0,0
0.79,5.03142749360646,-0.645334634710926,-0.528225520216205,0,0
0.8,5.12797940712982,-0.566682053214481,-0.534285603655832,0,0
0.81,5.00997151282349,-0.587333474072358,-0.540055681292266,0,0
0.82,5.03142749360646,-0.511418027262497,-0.545549438798941,0,0
0.83,5.00997151282349,-0.689954303982372,-0.551556300455165,0,0
0.84,4.88123562812567,-0.663542652048842,-0.558323785235321,0,0
0.85,4.91341959930012,-0.645334634710926,-0.56486817166912,0,0
0.86,5.03142749360646,-0.663542652048842,-0.571412558102919,0,0
0.87,4.97778754164903,-0.545249015684442,-0.577456516441585,0,0
