Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,18.934903040971,0.111894124921677,0,401,110
0.01,18.934903040971,-0.242849512660806,-0.000654776938695646,1295,0
0.02,18.934903040971,-0.152406677359627,-0.00263105788879781,2175,0
0.03,18.9670870121455,0.111894124921677,-0.00283362065098757,3137,0
0.04,18.9670870121455,-0.152406677359627,-0.00303618341317732,4084,0
0.05,18.9885429929284,-0.152406677359627,-0.0045602501867736,0,0
0.06,18.9885429929284,-0.152406677359627,-0.00608431696036987,0,0
0.07,18.9670870121455,-0.152406677359627,-0.00760838373396615,0,0
0.08,19.0207269641029,-0.152406677359627,-0.00913245050756242,0,0
0.09,19.0529109352773,-0.152406677359627,-0.0106565172811587,0,0
0.1,19.0529109352773,-0.216932836689902,-0.0125032148514063,0,0
0.11,19.1065508872348,-0.216932836689902,-0.0146725432183054,0,0
0.12,19.1494628488007,-0.152406677359627,-0.016519240788553,0,0
0.13,19.1494628488007,-0.152406677359627,-0.0180433075621493,0,0
0.14,19.1816468199752,-0.152406677359627,-0.0195673743357456,0,0
0.15,19.2031028007581,-0.152406677359627,-0.0210914411093418,0,0
0.16,19.1816468199752,-0.152406677359627,-0.0226155078829381,0,0
0.17,19.2031028007581,-0.152406677359627,-0.0241395746565344,0,0
0.18,19.267470743107,-0.152406677359627,-0.0256636414301307,0,0
0.19,19.267470743107,-0.152406677359627,-0.0271877082037269,0,0
0.2,19.28892672389,-0.152406677359627,-0.0287117749773232,0,0
0.21,19.267470743107,-0.152406677359627,-0.0302358417509195,0,0
0.22,19.3211106950645,-0.242849512660806,-0.0322121227010217,0,0
0.23,19.28892672389,-0.152406677359627,-0.0341884036511238,0,0
0.24,19.3211106950645,-0.152406677359627,-0.0357124704247201,0,0
0.25,19.3211106950645,-0.152406677359627,-0.0372365371983164,0,0
0.26,19.3532946662389,-0.152406677359627,-0.0387606039719126,0,0
0.27,19.3532946662389,-0.152406677359627,-0.0402846707455089,0,0
0.28,19.3211106950645,-0.152406677359627,-0.0418087375191052,0,0
0.29,19.3854786374134,-0.216932836689902,-0.0436554350893528,0,0
0.3,19.3532946662389,0.111894124921677,-0.044180628648194,0,0
0.31,19.3532946662389,-0.242849512660806,-0.0448354055868896,0,0
0.32,19.3211106950645,-0.242849512660806,-0.0472639007134977,0,0
0.33,19.3211106950645,-0.242849512660806,-0.0496923958401057,0,0
0.34,19.3211106950645,-0.152406677359627,-0.0516686767902079,0,0
0.35,19.3532946662389,-0.152406677359627,-0.0531927435638042,0,0
0.36,19.3854786374134,-0.152406677359627,-0.0547168103374005,0,0
0.37,19.3532946662389,-0.152406677359627,-0.0562408771109967,0,0
0.38,19.3532946662389,-0.242849512660806,-0.0582171580610989,0,0
0.39,19.3532946662389,-0.152406677359627,-0.0601934390112011,0,0
0.4,19.3532946662389,-0.242849512660806,-0.0621697199613032,0,0
0.41,19.3211106950645,-0.152406677359627,-0.0641460009114054,0,0
0.42,19.3211106950645,-0.242849512660806,-0.0661222818615076,0,0
0.43,19.3211106950645,-0.242849512660806,-0.0685507769881156,0,0
0.44,19.3211106950645,-0.242849512660806,-0.0709792721147237,0,0
0.45,19.3211106950645,-0.152406677359627,-0.0729555530648258,0,0
0.46,19.28892672389,-0.242849512660806,-0.074931834014928,0,0
0.47,19.3532946662389,-0.242849512660806,-0.0773603291415361,0,0
0.48,19.3532946662389,-0.242849512660806,-0.0797888242681441,0,0
0.49,19.3532946662389,-0.242849512660806,-0.0822173193947522,0,0
0.5,19.3532946662389,-0.242849512660806,-0.0846458145213602,0,0
0.51,19.3532946662389,-0.307772604848743,-0.087398925108908,0,0
0.52,19.4069346181963,-0.152406677359627,-0.0896998215199498,0,0
0.53,19.4069346181963,-0.152406677359627,-0.0912238882935461,0,0
0.54,19.3854786374134,-0.307772604848743,-0.0935247847045879,0,0
0.55,19.4069346181963,-0.307772604848743,-0.0966025107530754,0,0
0.56,19.4069346181963,-0.242849512660806,-0.0993556213406231,0,0
0.57,19.3854786374134,-0.307772604848743,-0.102108731928171,0,0
0.58,19.3854786374134,-0.307772604848743,-0.105186457976658,0,0
0.59,19.3854786374134,-0.152406677359627,-0.1074873543877,0,0
0.6,19.3532946662389,-0.242849512660806,-0.109463635337802,0,0
0.61,19.28892672389,-0.242849512660806,-0.11189213046441,0,0
